(20819, 22032) - Event 0
(26488, 27079) - Event 1
(32092, 32774) - Event 2
(43030, 43684) - Event 3
(47271, 47981) - Event 4
(51105, 51292) - Event 5
(52952, 53661) - Event 6
(56974, 57503) - Event 7
(63720, 64230) - Event 8
(64351, 65061) - Event 9
(66162, 66905) - Event 10
(67523, 68156) - Event 11
(70273, 71009) - Event 12
(76040, 76732) - Event 13
(77770, 78532) - Event 14
(84926, 85514) - Event 15
(85728, 86438) - Event 16
(86909, 87546) - Event 17
(89094, 89329) - Event 18
(100002, 100581) - Event 19
(102983, 103604) - Event 20
(105231, 105892) - Event 21
(106056, 107027) - Event 22
(109152, 110074) - Event 23
(115765, 116373) - Event 24
(116864, 117220) - Event 25
(117796, 118363) - Event 26
(118394, 118398) - Event 27
(20692, 22752) - Uncertain
(26449, 27422) - Uncertain
(31725, 32839) - Uncertain
(40370, 41180) - Uncertain
(42950, 44215) - Uncertain
(47236, 48430) - Uncertain
(51076, 51459) - Uncertain
(52903, 53759) - Uncertain
(56916, 57958) - Uncertain
(63664, 64295) - Uncertain
(64346, 65563) - Uncertain
(66113, 66957) - Uncertain
(67442, 68626) - Uncertain
(70204, 71495) - Uncertain
(75980, 77146) - Uncertain
(77688, 78630) - Uncertain
(84881, 85582) - Uncertain
(85639, 86717) - Uncertain
(86790, 87596) - Uncertain
(88859, 89394) - Uncertain
(99934, 100863) - Uncertain
(102933, 103676) - Uncertain
(105082, 105973) - Uncertain
(105967, 107529) - Uncertain
(109095, 110103) - Uncertain
(115674, 116433) - Uncertain
(116679, 117237) - Uncertain
(117649, 118375) - Uncertain
(118392, 118412) - Uncertain
