(11670, 12300) - Event 0
(31230, 31770) - Event 1
(39630, 40290) - Event 2
(43110, 43650) - Event 3
(52320, 52800) - Event 4
(64440, 64560) - Event 5
(64600, 64649) - Event 6
(64731, 64975) - Event 7
(70135, 70735) - Event 8
(73285, 73855) - Event 9
(76315, 76756) - Event 10
(78767, 79457) - Event 11
(98177, 98837) - Event 12
(102407, 102970) - Event 13
(103322, 103883) - Event 14
(109943, 110406) - Event 15
(11640, 12360) - Uncertain
(31170, 32010) - Uncertain
(39540, 40590) - Uncertain
(43020, 43950) - Uncertain
(52260, 52950) - Uncertain
(64170, 65035) - Uncertain
(70045, 70885) - Uncertain
(73225, 74005) - Uncertain
(76165, 76908) - Uncertain
(78377, 79577) - Uncertain
(98117, 99047) - Uncertain
(99317, 100337) - Uncertain
(102347, 103180) - Uncertain
(103180, 104123) - Uncertain
(109853, 110556) - Uncertain
