(195368, 195467) - Event 0
(213623, 213761) - Event 1
(225373, 225378) - Event 2
(225390, 225430) - Event 3
(225440, 225473) - Event 4
(225482, 225522) - Event 5
(225529, 225544) - Event 6
(241892, 241951) - Event 7
(241962, 241996) - Event 8
(242010, 242061) - Event 9
(242070, 242077) - Event 10
(242093, 242124) - Event 11
(242136, 242242) - Event 12
(242251, 242296) - Event 13
(242312, 242397) - Event 14
(242424, 242522) - Event 15
(242556, 242781) - Event 16
(243699, 243790) - Event 17
(283520, 283598) - Event 18
(292041, 292204) - Event 19
(195357, 195521) - Uncertain
(213609, 213838) - Uncertain
(225262, 225551) - Uncertain
(241823, 242880) - Uncertain
(243688, 243856) - Uncertain
(246496, 246735) - Uncertain
(258427, 258676) - Uncertain
(267605, 267821) - Uncertain
(283511, 283673) - Uncertain
(291952, 292214) - Uncertain
(295430, 295610) - Uncertain
(307464, 307675) - Uncertain
(318568, 318726) - Uncertain
